lambda-u utility-finmean-conloop
0.0 6.245009868867134
0.1 13.522769564212037
0.2 20.949558899553605
0.3 28.32282377429324
0.4 35.69467270365301
0.5 42.82977705681848
0.6 49.92422029667827
0.7 56.84929133186789
0.8 63.584309482205825
0.9 69.80824597442242
1.0 76.0341861327065
1.0 29.303859845861655
0.9 27.716521838288923
0.8 26.127180164648692
0.7 24.12502893712981
0.6 21.862191402462596
0.5 19.430589092465596
0.4 16.950157479774255
0.3 14.25928127127721
0.2 11.524554584160018
0.1 8.731378381644785
0.0 5.101829091132863
