lambda-u utility-finmean-conloop
0.0 4.590313606530131
0.1 4.563567355168022
0.2 4.535361332259382
0.3 4.5003530250034425
0.4 4.458704346417598
0.5 4.41871321683675
0.6 4.380669545021562
0.7 4.344807371663583
0.8 4.266461305820977
0.9 4.165948544655998
1.0 3.9919706043101972
1.0 3.8566384998470027
0.9 4.011409211718122
0.8 4.0832432573047015
0.7 4.142768365703258
0.6 4.1749093942703555
0.5 4.20486892438025
0.4 4.2328809967244805
0.3 4.2592355200637195
0.2 4.28049420605934
0.1 4.2952187929669385
0.0 4.306324848907066
