lambda-u utility-finmean utility-stderrfinmean
0.0 5.169795636663398 0.1957815187550209
0.1 4.713741036948148 0.17900311223223822
0.2 4.257686437232896 0.1622791467549334
0.3 3.8016318375176423 0.1456283795627365
0.4 3.345577237802392 0.12907914074901877
0.5 2.88952263808714 0.11267617493871014
0.6 2.433468038371888 0.09649410552468954
0.7 1.9774134386566362 0.08066598157264508
0.8 1.5213588389413835 0.06544910194207404
0.9 1.0653042392261318 0.05138935188195092
1.0 0.60924963951088 0.03973464745719073
