lambda-u utility-finmean-conloop
0.0 4.590314268656137
0.1 4.457126426127274
0.2 4.309383116629832
0.3 3.8475294541528053
0.4 3.385744392237149
0.5 2.924062695310267
0.6 2.4625468960179875
0.7 2.0013209625311092
0.8 1.5406652916462351
0.9 1.0813383963886156
1.0 0.6258300520046779
1.0 0.5682161115543624
0.9 0.9969321729223596
0.8 1.4218296834166775
0.7 1.8453984182837408
0.6 2.2683968905487975
0.5 2.691105497008452
0.4 3.1136482058335067
0.3 3.536087549669785
0.2 3.958458292944693
0.1 4.190053874526712
0.0 4.306326239045063
