lambda-u utility-finmean utility-stderrfinmean best-param best-planner
0.0 7.1959443909024 0.11803450983602728 10.0 larastar-haltonoffdens10000,1.0-sc10.00
0.1 7.074819723583414 0.12215667614297858 2.5 larastar-haltonoffdens10000,1.0-sc02.50
0.2 6.807634306784345 0.14425386733528758 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.3 6.137306596171221 0.13038154399803945 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.4 5.466978885558092 0.1170482569143339 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.5 4.796651174944969 0.10446061714972023 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.6 4.126323464331844 0.09292214634392716 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.7 3.4559957537187183 0.0828722431473247 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.8 2.7856680431055936 0.07491242049634812 0.0 larastar-haltonoffdens10000,1.0-sc00.00
0.9 2.115340332492466 0.06976181951626079 0.0 larastar-haltonoffdens10000,1.0-sc00.00
1.0 1.44501262187934 0.06806122858913362 0.0 larastar-haltonoffdens10000,1.0-sc00.00
