lambda-u utility-finmean-conloop
0.0 7.609583123763415
0.1 7.4002899470710455
0.2 6.965043058720173
0.3 6.463687546292077
0.4 5.724469783294046
0.5 4.936851648411729
0.6 4.150813613331699
0.7 3.3668554651012736
0.8 2.585617592432093
0.9 1.807860459123916
1.0 1.034367649765309
1.0 0.7251141903688114
0.9 1.4839880521621116
0.8 2.2385975900058424
0.7 2.9897263884885716
0.6 3.738134911410054
0.5 4.48446354748193
0.4 5.229212083751518
0.3 5.9626082871682
0.2 6.504588752791133
0.1 6.908110610862402
0.0 7.165524853836183
