lambda-u utility-finmean-conloop
0.0 4.4280422156834875
0.1 4.136956421684373
0.2 3.8462446135309016
0.3 3.55592335860345
0.4 3.266007853568142
0.5 2.9706493295942495
0.6 2.6615005478993146
0.7 2.3235263253474665
0.8 1.9403726522295943
0.9 1.5066380130880348
1.0 1.0017794819649495
1.0 0.8841236666864104
0.9 1.2880865300143487
0.8 1.66024973666791
0.7 1.9989070062289496
0.6 2.286859174539054
0.5 2.58167272945959
0.4 2.867006898495347
0.3 3.1525589762675663
0.2 3.437705304147643
0.1 3.7224610788016985
0.0 4.0068428676101115
