lambda-u utility-finmean-conloop
0.0 4.617442288442699
0.1 4.286208495170668
0.2 3.9554894497470845
0.3 3.6252460493151952
0.4 3.2868741960771954
0.5 2.9326917281983653
0.6 2.5792535982485334
0.7 2.180623102198517
0.8 1.7804686078722594
0.9 1.3825474306486936
1.0 0.9076584436937422
1.0 0.8480671212628575
0.9 1.2898719860581627
0.8 1.6872164665388125
0.7 2.0823276299167714
0.6 2.4467634351120675
0.5 2.8002211493295337
0.4 3.1529345256180044
0.3 3.49681313484483
0.2 3.8312609538909324
0.1 4.165233127945341
0.0 4.498690554151305
