lambda-u utility-finmean utility-stderrfinmean
0.0 7.9933667928814005 0.08660210072597886
0.1 7.315138853446144 0.07605160793377456
0.2 6.636910914010891 0.06990204140580553
0.3 5.9586829745756384 0.06933447064997146
0.4 5.280455035140384 0.07447662285677949
0.5 4.602227095705128 0.084289922222153
0.6 3.9239991562698755 0.0973721712221138
0.7 3.2457712168346218 0.11258958021516513
0.8 2.567543277399368 0.12918983134044254
0.9 1.889315337964114 0.14670424865948248
1.0 1.2110873985288602 0.16484169900829396
